IMG_ID,CLUSTER_ID_0,CLUSTER_ID_1,CLUSTER_ID_2,CLUSTER_ID_3,CLUSTER_ID_4,CLUSTER_ID_5,CLUSTER_ID_6,CLUSTER_ID_7,CLUSTER_ID_8,CLUSTER_ID_9,CLUSTER_ID_10,CLUSTER_ID_11,CLUSTER_ID_12,CLUSTER_ID_13,CLUSTER_ID_14,CLUSTER_ID_15,CLUSTER_ID_16,CLUSTER_ID_17,CLUSTER_ID_18,CLUSTER_ID_19,CLUSTER_ID_20,CLUSTER_ID_21,CLUSTER_ID_22,CLUSTER_ID_23,CLUSTER_ID_24,CLUSTER_ID_25,CLUSTER_ID_26,CLUSTER_ID_27,CLUSTER_ID_28,CLUSTER_ID_29,CLUSTER_ID_30,CLUSTER_ID_31,CLUSTER_ID_32,CLUSTER_ID_33,CLUSTER_ID_34,CLUSTER_ID_35,CLUSTER_ID_36,CLUSTER_ID_37,CLUSTER_ID_38,CLUSTER_ID_39,CLUSTER_ID_40,CLUSTER_ID_41,CLUSTER_ID_42,CLUSTER_ID_43,CLUSTER_ID_44,CLUSTER_ID_45,CLUSTER_ID_46,CLUSTER_ID_47,CLUSTER_ID_48,CLUSTER_ID_49
0,11.0,11.0,4.0,11.0,18.0,14.0,8.0,7.0,12.0,10.0,9.0,10.0,12.0,8.0,11.0,6.0,3.0,15.0,18.0,16.0,15.0,5.0,17.0,17.0,11.0,14.0,17.0,6.0,9.0,13.0,17.0,11.0,15.0,4.0,10.0,20.0,16.0,8.0,8.0,10.0,9.0,14.0,6.0,17.0,9.0,13.0,2.0,16.0,17.0,8.0
1,35.0,37.0,31.0,32.0,20.0,111.0,54.0,44.0,42.0,30.0,16.0,47.0,66.0,36.0,25.0,29.0,72.0,30.0,79.0,26.0,13.0,53.0,89.0,29.0,65.0,33.0,44.0,17.0,16.0,14.0,97.0,80.0,22.0,63.0,57.0,20.0,49.0,42.0,33.0,19.0,36.0,26.0,34.0,63.0,13.0,21.0,33.0,53.0,16.0,9.0
2,0.0,8.0,4.0,3.0,5.0,1.0,1.0,1.0,18.0,7.0,4.0,5.0,1.0,2.0,10.0,0.0,1.0,19.0,3.0,4.0,7.0,1.0,4.0,3.0,1.0,3.0,4.0,5.0,7.0,13.0,3.0,2.0,6.0,0.0,0.0,6.0,2.0,2.0,8.0,5.0,1.0,4.0,2.0,2.0,10.0,30.0,0.0,4.0,1.0,7.0
3,19.0,18.0,4.0,25.0,15.0,39.0,56.0,9.0,34.0,5.0,19.0,12.0,22.0,22.0,9.0,40.0,36.0,20.0,41.0,19.0,18.0,68.0,33.0,17.0,49.0,32.0,25.0,15.0,23.0,21.0,21.0,42.0,21.0,22.0,63.0,18.0,20.0,39.0,17.0,13.0,39.0,17.0,35.0,34.0,21.0,7.0,21.0,12.0,4.0,8.0
4,31.0,26.0,21.0,28.0,26.0,59.0,42.0,38.0,32.0,40.0,58.0,46.0,33.0,23.0,25.0,25.0,23.0,44.0,36.0,31.0,21.0,33.0,41.0,28.0,43.0,42.0,30.0,31.0,23.0,32.0,50.0,34.0,30.0,34.0,41.0,31.0,24.0,28.0,27.0,25.0,34.0,24.0,28.0,44.0,24.0,35.0,45.0,45.0,13.0,11.0
5,6.0,13.0,9.0,9.0,14.0,5.0,4.0,8.0,53.0,16.0,10.0,14.0,6.0,10.0,11.0,6.0,4.0,38.0,10.0,13.0,12.0,6.0,19.0,26.0,3.0,2.0,7.0,4.0,10.0,15.0,9.0,4.0,13.0,11.0,9.0,14.0,15.0,5.0,10.0,11.0,9.0,9.0,3.0,15.0,13.0,23.0,5.0,17.0,25.0,43.0
6,17.0,27.0,7.0,12.0,20.0,190.0,53.0,11.0,13.0,25.0,13.0,47.0,33.0,32.0,16.0,8.0,75.0,11.0,94.0,30.0,10.0,99.0,119.0,39.0,118.0,51.0,32.0,9.0,11.0,10.0,90.0,89.0,4.0,36.0,83.0,5.0,28.0,34.0,22.0,6.0,21.0,17.0,29.0,106.0,7.0,12.0,2.0,53.0,7.0,3.0
7,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,23.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,2.0,9.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,1.0,7.0,4.0,4.0,6.0,10.0,4.0,2.0,6.0,6.0,2.0,3.0,2.0,2.0,0.0,0.0,4.0,5.0,5.0,0.0,1.0,3.0,0.0
8,4.0,5.0,5.0,2.0,9.0,4.0,4.0,7.0,11.0,4.0,10.0,2.0,13.0,12.0,8.0,10.0,1.0,10.0,4.0,12.0,4.0,2.0,1.0,8.0,5.0,6.0,3.0,10.0,7.0,4.0,2.0,2.0,5.0,11.0,3.0,1.0,3.0,8.0,6.0,16.0,6.0,4.0,6.0,3.0,12.0,11.0,3.0,6.0,1.0,2.0
9,2.0,4.0,2.0,4.0,3.0,0.0,9.0,6.0,13.0,3.0,8.0,2.0,7.0,10.0,2.0,27.0,5.0,12.0,1.0,3.0,5.0,3.0,0.0,4.0,7.0,4.0,3.0,5.0,3.0,10.0,2.0,1.0,12.0,10.0,2.0,2.0,1.0,7.0,1.0,13.0,12.0,2.0,10.0,0.0,5.0,5.0,12.0,3.0,2.0,5.0
10,28.0,19.0,23.0,14.0,46.0,72.0,40.0,19.0,47.0,41.0,75.0,33.0,37.0,15.0,30.0,12.0,54.0,91.0,40.0,32.0,11.0,43.0,55.0,31.0,52.0,41.0,32.0,9.0,14.0,19.0,26.0,61.0,18.0,36.0,45.0,14.0,16.0,20.0,17.0,15.0,33.0,15.0,24.0,54.0,14.0,33.0,19.0,39.0,160.0,125.0
11,24.0,21.0,6.0,27.0,13.0,46.0,66.0,25.0,21.0,11.0,17.0,24.0,24.0,29.0,20.0,24.0,34.0,7.0,46.0,21.0,21.0,41.0,32.0,27.0,51.0,29.0,22.0,20.0,23.0,15.0,28.0,34.0,8.0,28.0,48.0,28.0,34.0,35.0,29.0,21.0,43.0,16.0,25.0,37.0,31.0,17.0,50.0,12.0,5.0,7.0
12,20.0,9.0,8.0,7.0,12.0,19.0,34.0,15.0,52.0,17.0,20.0,13.0,18.0,17.0,4.0,30.0,15.0,38.0,29.0,21.0,23.0,21.0,30.0,15.0,19.0,25.0,11.0,14.0,15.0,22.0,10.0,23.0,20.0,15.0,15.0,20.0,9.0,25.0,10.0,16.0,26.0,11.0,11.0,36.0,19.0,14.0,18.0,9.0,9.0,17.0
13,13.0,18.0,17.0,8.0,27.0,15.0,15.0,5.0,14.0,10.0,16.0,20.0,14.0,22.0,56.0,24.0,12.0,9.0,32.0,23.0,14.0,7.0,94.0,30.0,17.0,9.0,15.0,6.0,12.0,9.0,14.0,11.0,22.0,16.0,14.0,19.0,11.0,8.0,13.0,17.0,6.0,7.0,18.0,67.0,6.0,9.0,13.0,16.0,13.0,17.0
14,2.0,7.0,1.0,4.0,4.0,0.0,7.0,7.0,41.0,2.0,7.0,9.0,2.0,10.0,0.0,15.0,1.0,43.0,4.0,8.0,7.0,3.0,5.0,5.0,1.0,12.0,4.0,10.0,11.0,12.0,2.0,3.0,14.0,8.0,3.0,6.0,7.0,7.0,5.0,9.0,8.0,8.0,11.0,12.0,7.0,21.0,6.0,12.0,10.0,6.0
15,10.0,8.0,7.0,5.0,19.0,3.0,12.0,17.0,60.0,21.0,16.0,10.0,14.0,8.0,22.0,19.0,18.0,44.0,6.0,17.0,17.0,17.0,7.0,25.0,5.0,11.0,8.0,8.0,10.0,13.0,4.0,17.0,19.0,16.0,16.0,32.0,9.0,12.0,9.0,12.0,5.0,6.0,20.0,6.0,6.0,10.0,12.0,6.0,26.0,30.0
16,3.0,9.0,5.0,10.0,6.0,14.0,1.0,0.0,2.0,5.0,6.0,10.0,7.0,5.0,6.0,4.0,8.0,9.0,25.0,14.0,10.0,8.0,12.0,17.0,14.0,7.0,12.0,6.0,6.0,18.0,10.0,4.0,4.0,8.0,7.0,10.0,12.0,3.0,18.0,8.0,0.0,3.0,3.0,18.0,10.0,13.0,2.0,4.0,3.0,5.0
17,16.0,15.0,13.0,18.0,28.0,17.0,23.0,9.0,13.0,32.0,10.0,43.0,12.0,27.0,22.0,26.0,29.0,10.0,22.0,17.0,12.0,17.0,16.0,27.0,16.0,20.0,17.0,22.0,20.0,10.0,21.0,27.0,13.0,18.0,14.0,16.0,9.0,25.0,21.0,17.0,23.0,20.0,22.0,10.0,17.0,12.0,22.0,27.0,19.0,12.0
18,2.0,4.0,1.0,0.0,2.0,2.0,3.0,3.0,14.0,1.0,0.0,0.0,4.0,3.0,2.0,15.0,5.0,9.0,4.0,0.0,6.0,5.0,1.0,0.0,3.0,3.0,0.0,5.0,5.0,4.0,2.0,2.0,7.0,4.0,2.0,2.0,2.0,0.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,2.0,3.0,0.0,0.0,1.0
19,4.0,12.0,6.0,12.0,17.0,2.0,9.0,7.0,14.0,10.0,20.0,10.0,16.0,17.0,11.0,21.0,8.0,12.0,15.0,19.0,27.0,10.0,8.0,17.0,9.0,15.0,9.0,24.0,21.0,18.0,7.0,6.0,27.0,13.0,5.0,27.0,8.0,12.0,22.0,25.0,6.0,12.0,12.0,10.0,23.0,16.0,13.0,2.0,13.0,9.0
20,4.0,10.0,6.0,6.0,16.0,4.0,3.0,4.0,4.0,5.0,8.0,5.0,5.0,5.0,11.0,1.0,3.0,6.0,4.0,9.0,5.0,3.0,6.0,4.0,2.0,8.0,4.0,6.0,9.0,4.0,3.0,3.0,8.0,3.0,2.0,8.0,9.0,6.0,10.0,14.0,8.0,3.0,5.0,7.0,9.0,5.0,8.0,7.0,6.0,8.0
21,27.0,19.0,7.0,19.0,20.0,47.0,41.0,3.0,51.0,14.0,13.0,31.0,20.0,17.0,6.0,24.0,21.0,39.0,31.0,23.0,26.0,36.0,41.0,18.0,48.0,39.0,32.0,26.0,22.0,23.0,32.0,28.0,24.0,23.0,37.0,30.0,37.0,23.0,17.0,30.0,19.0,18.0,18.0,44.0,21.0,30.0,16.0,30.0,29.0,25.0
22,7.0,11.0,2.0,4.0,11.0,6.0,4.0,1.0,33.0,7.0,17.0,7.0,3.0,3.0,0.0,8.0,2.0,24.0,9.0,8.0,10.0,0.0,7.0,8.0,4.0,4.0,7.0,7.0,14.0,13.0,6.0,0.0,20.0,8.0,3.0,17.0,5.0,2.0,15.0,11.0,5.0,9.0,4.0,6.0,6.0,23.0,11.0,10.0,21.0,2.0
23,15.0,13.0,13.0,9.0,25.0,30.0,3.0,0.0,6.0,26.0,14.0,29.0,6.0,15.0,17.0,4.0,21.0,7.0,12.0,16.0,10.0,2.0,18.0,19.0,17.0,6.0,14.0,5.0,5.0,6.0,20.0,18.0,8.0,13.0,5.0,6.0,18.0,2.0,11.0,9.0,4.0,10.0,12.0,12.0,5.0,15.0,1.0,24.0,49.0,56.0
24,12.0,8.0,9.0,6.0,3.0,2.0,8.0,9.0,11.0,3.0,9.0,8.0,12.0,11.0,7.0,8.0,3.0,10.0,6.0,3.0,7.0,3.0,4.0,10.0,7.0,10.0,4.0,20.0,9.0,12.0,5.0,10.0,6.0,5.0,6.0,7.0,6.0,5.0,12.0,9.0,6.0,7.0,14.0,1.0,12.0,12.0,21.0,5.0,5.0,4.0
25,16.0,13.0,19.0,12.0,15.0,21.0,8.0,15.0,24.0,29.0,22.0,15.0,19.0,26.0,12.0,18.0,22.0,44.0,15.0,20.0,9.0,27.0,16.0,23.0,24.0,18.0,9.0,15.0,14.0,19.0,19.0,17.0,20.0,25.0,22.0,13.0,14.0,10.0,14.0,25.0,7.0,9.0,19.0,22.0,12.0,36.0,23.0,16.0,31.0,17.0
26,11.0,9.0,16.0,12.0,17.0,4.0,10.0,7.0,24.0,10.0,11.0,13.0,8.0,8.0,19.0,15.0,11.0,25.0,8.0,17.0,17.0,8.0,11.0,13.0,16.0,7.0,8.0,16.0,7.0,19.0,5.0,12.0,18.0,8.0,17.0,23.0,12.0,18.0,16.0,16.0,12.0,14.0,13.0,10.0,11.0,13.0,3.0,8.0,17.0,10.0
27,13.0,5.0,4.0,17.0,15.0,5.0,14.0,4.0,21.0,8.0,11.0,8.0,9.0,14.0,10.0,23.0,5.0,11.0,3.0,8.0,18.0,12.0,1.0,11.0,10.0,8.0,10.0,27.0,7.0,11.0,4.0,5.0,20.0,5.0,8.0,18.0,15.0,12.0,11.0,18.0,7.0,14.0,18.0,4.0,12.0,4.0,9.0,8.0,15.0,11.0
28,2.0,12.0,3.0,4.0,4.0,4.0,2.0,7.0,3.0,3.0,1.0,7.0,4.0,2.0,4.0,0.0,1.0,4.0,4.0,7.0,4.0,6.0,3.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,3.0,5.0,2.0,3.0,1.0,5.0,3.0,6.0,5.0,0.0,6.0,5.0,9.0,3.0,6.0,6.0,4.0,6.0,1.0,3.0
29,12.0,10.0,19.0,14.0,21.0,87.0,17.0,8.0,7.0,23.0,20.0,33.0,25.0,18.0,21.0,8.0,30.0,9.0,27.0,25.0,11.0,31.0,36.0,14.0,40.0,13.0,12.0,20.0,9.0,11.0,31.0,37.0,11.0,23.0,24.0,4.0,17.0,12.0,6.0,6.0,15.0,11.0,9.0,33.0,9.0,22.0,4.0,23.0,30.0,20.0
30,5.0,7.0,11.0,8.0,6.0,4.0,9.0,5.0,15.0,6.0,15.0,6.0,11.0,11.0,10.0,19.0,3.0,24.0,6.0,3.0,15.0,6.0,7.0,4.0,8.0,4.0,3.0,15.0,21.0,20.0,5.0,2.0,15.0,12.0,7.0,12.0,6.0,7.0,5.0,20.0,7.0,7.0,8.0,8.0,11.0,11.0,10.0,1.0,3.0,4.0
